Local time in Braganca,temp,RH,wind,rain,month,day,class
2017-11-21 03:00:00,-0.4,78.0,0.0,0.0,11,2,0
2016-11-05 05:00:00,11.7,91.0,2.0,0.0,11,6,0
2018-04-22 14:00:00,18.8,52.0,5.0,0.0,4,7,0
2018-02-03 08:00:00,2.5,75.0,1.0,0.0,2,6,0
2017-05-24 13:00:00,29.7,27.0,1.0,0.0,5,3,0
2016-05-30 21:00:00,12.5,68.0,2.0,0.0,5,1,0
2018-07-01 19:00:00,15.0,86.0,2.0,0.2,7,7,0
2016-01-30 13:00:00,8.7,72.0,3.0,0.0,1,6,0
2017-01-21 11:00:00,6.4,64.0,3.0,0.0,1,6,0
2016-07-05 20:00:00,25.8,38.0,1.0,0.0,7,2,0
2016-01-04 23:00:00,5.2,79.0,3.0,0.1,1,1,0
2017-01-16 20:00:00,6.6,63.0,0.0,0.0,1,1,0
2016-11-06 23:00:00,3.8,77.0,3.0,0.0,11,7,0
2018-04-08 04:00:00,5.9,86.0,2.0,0.0,4,7,0
2018-10-18 21:00:00,14.7,63.0,2.0,0.0,10,4,0
2018-07-11 04:00:00,19.4,67.0,2.0,0.0,7,3,0
2016-11-23 22:00:00,4.0,95.0,0.0,0.0,11,3,0
2018-09-27 00:00:00,19.3,54.0,1.0,0.0,9,4,0
2017-03-17 10:00:00,14.2,41.0,1.0,0.0,3,5,0
2017-06-08 02:00:00,14.4,73.0,1.0,0.0,6,4,0
2016-03-04 18:00:00,5.2,72.0,6.0,3.0,3,5,0
2018-07-24 15:00:00,29.2,33.0,4.0,0.0,7,2,0
2018-05-26 02:00:00,10.3,98.0,0.0,0.0,5,6,0
2018-03-22 05:00:00,-2.5,85.0,1.0,0.0,3,4,0
2017-12-09 18:00:00,11.4,83.0,2.0,0.1,12,6,0
2017-05-11 08:00:00,9.5,95.0,3.0,2.0,5,4,0
2018-04-12 02:00:00,5.6,87.0,2.0,0.0,4,4,0
2016-09-06 20:00:00,27.0,40.0,2.0,0.0,9,2,0
2018-05-01 01:00:00,4.7,87.0,0.0,0.0,5,2,0
2016-04-22 03:00:00,7.8,97.0,0.0,0.0,4,5,0
2016-11-10 20:00:00,8.9,76.0,3.0,0.0,11,4,0
2018-02-12 06:00:00,-0.9,79.0,0.0,0.2,2,1,0
2016-05-07 12:00:00,10.9,74.0,5.0,0.0,5,6,0
2016-12-02 10:00:00,8.0,92.0,0.0,0.0,12,5,0
2018-05-16 10:00:00,18.0,34.0,2.0,0.0,5,3,0
2016-07-09 19:00:00,29.5,40.0,3.0,0.0,7,6,0
2017-05-12 12:00:00,13.5,80.0,5.0,5.0,5,5,0
2016-11-05 18:00:00,7.2,69.0,4.0,4.0,11,6,0
2018-01-09 23:00:00,1.3,99.0,0.0,0.0,1,2,0
2017-06-06 07:00:00,15.2,75.0,3.0,0.0,6,2,0
2018-11-05 18:00:00,7.2,85.0,2.0,4.0,11,1,0
2017-06-17 07:00:00,25.0,26.0,2.0,0.0,6,6,0
2018-04-25 11:00:00,24.2,42.0,2.0,0.0,4,3,0
2016-08-10 05:00:00,12.1,75.0,2.0,0.0,8,3,0
2018-08-05 18:00:00,34.3,24.0,3.0,0.0,8,7,0
